artist,title,startTime
GIOVANNIE AND THE HIRED GUNS,RAMONE AYALA,09 Sep 2022 23:07:26
COLDPLAY,CLOCKS,09 Sep 2022 23:10:12
MANCHESTER ORCHESTRA,BED HEAD,09 Sep 2022 23:14:23
RED HOT CHILI PEPPERS,TIPPA MY TONGUE,09 Sep 2022 23:18:04
CANNONS,BAD DREAM,09 Sep 2022 23:26:01
YOUNG BLOOD,NAKED AND FAMOUS,09 Sep 2022 23:29:15
JACK WHITE,WHAT'S THE TRICK,09 Sep 2022 23:33:04
MUSE,STARLIGHT,09 Sep 2022 23:36:46
BLINK-182,I MISS YOU,09 Sep 2022 23:41:13
DIRTY HEADS,LIFE'S BEEN GOOD,09 Sep 2022 23:44:56
SHAED,TRAMPOLINE,09 Sep 2022 23:48:12
BLACK KEYS,WILD CHILD,09 Sep 2022 23:51:18
HARVEY DANGER,FLAGPOLE SITTA,09 Sep 2022 23:58:38
SIT NEXT TO ME,FOSTER THE PEOPLE,10 Sep 2022 00:02:22
KATE BUSH,RUNNING UP THAT HILL,10 Sep 2022 00:06:25
BAKAR,HELL N BACK,10 Sep 2022 00:11:28
LUMINEERS,BRIGHTSIDE,10 Sep 2022 00:15:02
WHITE STRIPES,SEVEN NATION ARMY,10 Sep 2022 00:18:50
CAFUNE,TEK IT,10 Sep 2022 00:22:46
